time,temperature
1554965963,23.6
1554967887,24.3
1554969906,24.2
1554971799,24.6
1554973622,25.4
1554975574,25.3
1554977440,24.7
1554979299,24.3
1554981170,23.6
1554983026,23.0
1554984971,22.2
1554986887,21.7
1554988861,21.4
1554990653,20.9
1554992516,20.7
1554994318,20.6
1554996184,20.1
1554998043,19.7
1554999850,21.5
1555001653,22.0
1555003631,19.3
1555005674,18.9
1555007605,18.9
1555009759,18.7
1555011803,18.4
1555013787,18.6
1555015829,18.3
1555017691,18.3
1555019735,18.6
1555021769,18.8
1555023552,18.8
1555025503,18.7
1555027315,19.1
1555029168,19.8
1555031112,20.4
1555033228,20.9
1555035184,21.5
1555037275,22.5
1555039202,23.6
1555041003,23.6
1555042929,19.7
1555044800,19.2
1555046711,25.9
1555048512,26.0
1555050315,25.8
1555052117,25.5
1555053919,25.7
1555055781,25.7
1555057584,25.6
1555059386,25.2
1555061188,24.4
1555062989,21.4
1555064791,22.2
1555066594,23.0
1555068456,23.1
1555070259,23.0
1555072061,22.8
1555073864,22.6
1555075665,22.4
1555077467,22.1
1555079270,21.9
1555081072,21.6
1555082935,21.6
1555084737,21.8
1555086487,24.6
1555088229,25.4
